title,runtime,budget,original_language,Year,Month,Genre
Showgirls,128.0,45000000,en,1995,09,Drama 
Smoke,112.0,7000000,en,1995,06,Comedy Drama 
Species,108.0,35000000,en,1995,07,Science Fiction Horror Action 
Strange Days,145.0,42000000,en,1995,10,Crime Drama Science Fiction Thriller 
The Tie That Binds,99.0,14000000,en,1995,09,Thriller 
Under Siege 2: Dark Territory,100.0,60000000,en,1995,07,Action Thriller 
A Walk in the Clouds,103.0,20000000,en,1995,08,Drama Romance 
Waterworld,135.0,175000000,en,1995,07,Adventure Action 
White Man's Burden,89.0,8000000,en,1995,12,Drama 
Wild Bill,98.0,30000000,en,1995,12,Action Western 
Burnt by the Sun,135.0,2800000,ru,1994,05,Drama 
Before Sunrise,105.0,2500000,en,1995,01,Drama Romance 
Billy Madison,89.0,10000000,en,1995,02,Comedy 
Boys on the Side,115.0,21000000,en,1995,02,Comedy Drama 
Clerks,92.0,27000,en,1994,09,Comedy 
Don Juan DeMarco,97.0,25000000,en,1994,10,Romance Drama Comedy 
Disclosure,123.0,55000000,en,1994,12,Drama Thriller Crime Mystery Romance 
Drop Zone,101.0,45000000,en,1994,12,Action Adventure Thriller 
Dumb and Dumber,107.0,16000000,en,1994,12,Comedy 
Ed Wood,127.0,18000000,en,1994,09,Comedy Drama History 
Hideaway,103.0,15000000,en,1995,03,Drama Thriller 
Hoop Dreams,171.0,700000,en,1994,09,Documentary 
Heavenly Creatures,99.0,5000000,en,1994,09,Drama Fantasy 
Houseguest,113.0,10500000,en,1995,01,Comedy Family 
Immortal Beloved,121.0,120,en,1994,12,Drama Music Romance 
I.Q.,100.0,25000000,en,1994,12,Comedy Drama Romance 
Interview with the Vampire,123.0,60000000,en,1994,11,Horror Romance 
Jefferson in Paris,139.0,14000000,en,1995,03,Drama Romance 
Junior,109.0,60000000,en,1994,11,Comedy Family Romance 
Kiss of Death,101.0,40000000,en,1995,04,Action Crime Drama Thriller 
Star Wars,121.0,11000000,en,1977,05,Adventure Action Science Fiction 
Little Women,115.0,18000000,en,1994,12,Drama Romance 
A Little Princess,97.0,17000000,en,1995,05,Drama Family Fantasy 
L'Enfer,100.0,10000000,fr,1994,02,Crime Drama 
Like Water for Chocolate,105.0,2000000,es,1992,04,Drama Romance 
Legends of the Fall,133.0,30000000,en,1994,12,Adventure Drama Romance War 
