title,runtime,budget,original_language,Year,Month,Genre
Juwanna Mann,91.0,15600000,en,2002,06,Comedy Drama 
Lilo & Stitch,85.0,80000000,en,2002,06,Animation Family 
Minority Report,145.0,102000000,en,2002,06,Action Thriller Science Fiction Mystery 
Mr. Deeds,96.0,50000000,en,2002,06,Comedy Romance 
Lovely & Amazing,91.0,250000,en,2001,08,Comedy Drama Romance 
Mo' Money,97.0,17000000,en,1992,07,Action Comedy Thriller Crime Romance 
Like Mike,99.0,30000000,en,2002,07,Comedy Drama Family Fantasy 
Men in Black II,88.0,140000000,en,2002,07,Action Adventure Comedy Science Fiction 
The Powerpuff Girls Movie,77.0,10000000,en,2002,07,Animation Action Family 
Reign of Fire,101.0,60000000,en,2002,07,Adventure Action Fantasy 
Road to Perdition,117.0,80000000,en,2002,07,Thriller Crime Drama 
Perfect,115.0,19000000,en,1985,06,Drama Romance 
The Legend of Boggy Creek,90.0,100000,en,1972,08,Mystery Horror Drama 
Halloween: Resurrection,94.0,13000000,en,2002,07,Horror Thriller 
K-19: The Widowmaker,138.0,100000000,en,2002,07,Drama History Thriller 
Stuart Little 2,78.0,120000000,en,2002,07,Family Adventure Animation Comedy 
Austin Powers in Goldmember,94.0,63000000,en,2002,07,Comedy Crime Science Fiction 
The Country Bears,88.0,35000000,en,2002,07,Adventure Comedy Family 
The Kid Stays in the Picture,93.0,40000,en,2002,01,Documentary 
Happy Times,102.0,1900000,zh,2000,12,Drama Comedy 
Tadpole,78.0,150000,en,2002,11,Comedy Drama Romance 
Top Secret!,90.0,9000000,en,1984,06,Comedy 
Signs,106.0,72000000,en,2002,08,Drama Thriller Science Fiction Mystery 
Spy Kids 2: The Island of Lost Dreams,100.0,38000000,en,2002,08,Action Adventure Family 
The Good Girl,93.0,8000000,en,2002,01,Drama Comedy Romance 
Blood Work,110.0,50000000,en,2002,08,Crime Drama Mystery Thriller 
xXx,124.0,70000000,en,2002,08,Action Adventure Thriller 
Martin Lawrence Live: Runteldat,113.0,3000000,en,2002,08,Comedy 
The Adventures of Pluto Nash,95.0,100000000,en,2002,08,Action Comedy Science Fiction 
Blue Crush,104.0,25000000,en,2002,08,Adventure 
The Isle,90.0,50000,ko,2000,04,Drama Thriller 
Possession,102.0,25000000,en,2002,10,Drama Mystery Romance 
One Hour Photo,96.0,12000000,en,2002,08,Horror Thriller 
Serving Sara,100.0,29000000,en,2002,08,Comedy Romance 
Undisputed,96.0,20000000,en,2002,08,Action Adventure Drama Thriller 
Clash of the Titans,118.0,15000000,en,1981,03,Adventure Fantasy Family 
Hot Shots!,84.0,26000000,en,1991,07,Action Comedy War 
Camilla,95.0,8500000,en,1994,11,Adventure Drama Comedy Family 
Down and Out in Beverly Hills,103.0,14000000,en,1986,01,Comedy 
Love Me Tender,89.0,1000000,en,1956,11,Drama Action Western Music Romance 
Wolfen,115.0,17000000,en,1981,07,Drama Horror 
FearDotCom,101.0,40000000,en,2002,08,Horror Thriller 
Mad Love,115.0,4800000,es,2001,09,Drama History Romance Foreign 
City By The Sea,108.0,40000000,en,2002,09,Crime Drama Mystery 
Swimfan,84.0,8500000,en,2002,09,Drama Thriller 
The Last House on the Left,84.0,90000,en,1972,08,Horror Thriller 
Barbershop,102.0,12000000,en,2002,04,Comedy Drama 
The Transporter,92.0,21000000,en,2002,10,Action Crime Thriller 
Igby Goes Down,97.0,9000000,en,2002,09,Comedy Drama 
Captain Ron,100.0,24000000,en,1992,09,Action Adventure Comedy Family 
The Hills Have Eyes Part II,86.0,700000,en,1984,06,Horror 
The Hills Have Eyes,89.0,230000,en,1977,07,Horror 
Shock Waves,85.0,200000,en,1977,07,Horror 
Spaced Invaders,100.0,3000000,en,1990,04,Comedy Family Science Fiction 
Ballistic: Ecks vs. Sever,91.0,70000000,en,2002,09,Action Adventure Thriller 
The Banger Sisters,98.0,10000000,en,2002,09,Comedy Drama 
The Four Feathers,132.0,35000000,en,2002,09,War Adventure Drama Romance 
Trapped,106.0,30000000,en,2002,09,Action Crime Drama Thriller 
8 Women,111.0,8000000,fr,2002,01,Comedy Thriller Music Crime Mystery 
Secretary,104.0,4000000,en,2002,01,Comedy Drama Romance 
Spirited Away,125.0,15000000,ja,2001,07,Fantasy Adventure Animation Family 
Sweet Home Alabama,108.0,30000000,en,2002,09,Comedy Romance 
Crazy As Hell,113.0,1800000,en,2002,10,Horror Thriller 
Moonlight Mile,117.0,21000000,en,2002,09,Romance Drama 
Wasabi,94.0,15300000,fr,2001,10,Drama Action Comedy 
Red Dragon,124.0,78000000,en,2002,09,Crime Thriller Horror 
Heaven,96.0,11000000,en,2002,02,Drama Thriller Romance Crime 
Welcome to Collinwood,86.0,1200000,en,2002,05,Comedy 
Godzilla's Revenge,70.0,150000,ja,1969,12,Fantasy Science Fiction Family 
"Godzilla, King of the Monsters!",80.0,650000,en,1956,04,Science Fiction Horror 
Powaqqatsi,99.0,2500000,en,1988,04,Documentary Drama Music 
Valmont,137.0,33000000,en,1989,11,Drama Romance 
Horror of Dracula,82.0,226188,en,1958,05,Horror 
Claire of the Moon,105.0,130000,en,1992,09,Drama Romance 
Brown Sugar,109.0,8000000,en,2002,10,Comedy Romance 
Knockaround Guys,92.0,15000000,en,2001,09,Crime Thriller 
The Rules of Attraction,110.0,4000000,en,2002,10,Comedy Drama Romance 
Tuck Everlasting,90.0,15000000,en,2002,10,Drama Family Fantasy Romance Science Fiction 
Bowling for Columbine,120.0,4000000,en,2002,10,Documentary 
Punch-Drunk Love,95.0,25000000,en,2002,10,Comedy Drama Romance 
Swept Away,89.0,10000000,en,2002,10,Comedy Romance 
Abandon,99.0,25000000,en,2002,10,Drama Mystery Thriller 
The 51st State,93.0,28,en,2001,12,Thriller Action Comedy Crime 
The Ring,115.0,48000000,en,2002,10,Horror Mystery 
Auto Focus,104.0,7000000,en,2002,10,Drama Crime 
Naqoyqatsi,89.0,3000000,en,2002,09,Documentary Drama Music Thriller 
Billy Bathgate,106.0,48000000,en,1991,11,Drama Action Thriller Crime 
Grave of the Fireflies,89.0,3700000,ja,1988,04,Animation Drama War 
Jason Goes to Hell: The Final Friday,87.0,3000000,en,1993,08,Fantasy Horror Thriller 
Saturday Night Fever,118.0,3500000,en,1977,12,Drama Music 
Staying Alive,93.0,22000000,en,1983,07,Drama Action Music Romance 
Terror Train,97.0,3500000,en,1980,10,Horror Thriller 
When Time Ran Out...,121.0,20000000,en,1980,03,Action Adventure Drama Thriller 
Without Warning,97.0,150000,en,1980,09,Horror Science Fiction 
Xanadu,96.0,20000000,en,1980,08,Fantasy Music Romance 
Absence of Malice,116.0,12000000,en,1981,12,Drama Romance Thriller 
The Amateur,112.0,10000000,en,1981,12,Action Crime Thriller 
Blow Out,108.0,18000000,en,1981,07,Drama Mystery Thriller 
The Burning,91.0,1500000,en,1981,05,Horror Thriller 
Dead & Buried,94.0,3000000,en,1981,05,Horror Mystery 
Deadly Blessing,100.0,2500000,en,1981,08,Horror Mystery Thriller 
Galaxy of Terror,81.0,700000,en,1981,10,Action Adventure Horror Science Fiction 
Gallipoli,112.0,3000000,en,1981,08,Adventure Drama History War 
Goodbye Pork Pie,105.0,300000,en,1981,02,Adventure Comedy 
The Hand,104.0,6500000,en,1981,04,Drama Horror Thriller 
Heartbeeps,79.0,10000000,en,1981,12,Comedy Romance Family 
Inseminoid,93.0,2000000,en,1981,01,Foreign Horror Science Fiction Thriller 
The Legend of the Lone Ranger,98.0,18000000,en,1981,08,Action Adventure Romance Western 
Ms .45,81.0,62000,en,1981,04,Crime Drama Horror Thriller 
My Bloody Valentine,90.0,2200000,en,1981,02,Thriller Horror Mystery 
Neighbors,94.0,8500000,en,1981,12,Comedy 
Pennies from Heaven,108.0,22000000,en,1981,12,Drama Music Romance 
Piranha Part Two: The Spawning,84.0,145786,en,1981,01,Horror 
Polyester,86.0,300000,en,1981,05,Comedy 
Private Lessons,87.0,2800000,en,1981,08,Romance Comedy 
Ghost Ship,91.0,35000000,en,2002,10,Horror Mystery Thriller 
Jackass: The Movie,87.0,5000000,en,2002,10,Documentary Comedy 
All or Nothing,128.0,9000000,en,2002,05,Comedy Drama 
All The Queen's Men,99.0,15000000,en,2001,10,Action Comedy Drama History 
Frida,123.0,12000000,en,2002,08,Drama Romance 
Casino Royale,131.0,12000000,en,1967,04,Adventure Action Comedy 
The Company of Wolves,95.0,2000000,en,1984,09,Fantasy Horror 
Exodus,208.0,4000000,en,1960,03,Action Drama History War 
I Spy,97.0,70000000,en,2002,10,Action Adventure Comedy Thriller 
The Santa Clause 2,104.0,65000000,en,2002,10,Fantasy Comedy Family 
The Weight of Water,113.0,16000000,en,2000,09,Crime Drama Mystery 
Femme Fatale,114.0,35000000,en,2002,11,Thriller Crime Romance 
8 Mile,110.0,41000000,en,2002,11,Drama 
Far from Heaven,107.0,13500000,en,2002,09,Drama Romance 
Half Past Dead,98.0,13000000,en,2002,11,Crime Action Thriller 
Harry Potter and the Chamber of Secrets,161.0,100000000,en,2002,11,Adventure Fantasy Family 
The Crime of Padre Amaro,118.0,1800000,es,2002,10,Drama Romance 
Interview with the Assassin,88.0,500000,en,2002,05,Drama Thriller 
The Way Home,80.0,2000000,ko,2002,04,Drama Family 
Liberty Stands Still,96.0,11000000,en,2002,01,Thriller Action Drama 
Men with Brooms,102.0,7500000,en,2002,09,Comedy 
Return to the Blue Lagoon,98.0,11000000,en,1991,08,Adventure 
The Prowler,89.0,1000000,en,1981,11,Thriller Horror Mystery 
Roadgames,101.0,1750000,en,1981,06,Thriller Horror Mystery 
Scanners,103.0,4100000,en,1981,01,Horror Science Fiction Thriller 
Sphinx,118.0,14000000,en,1981,02,Adventure Mystery Thriller 
This Is Elvis,144.0,5000000,en,1981,04,Drama Music Documentary 
Die Another Day,133.0,140000000,en,2002,11,Adventure Action Thriller 
Friday After Next,85.0,20000000,en,2002,11,Comedy 
The Quiet American,101.0,30000000,en,2002,11,Drama Action Thriller Romance 
Talk to Her,112.0,9285469,es,2002,03,Drama Romance 
Extreme Ops,93.0,40000000,en,2002,11,Action Adventure Drama Thriller 
Solaris,99.0,47000000,en,2002,11,Drama Science Fiction Mystery Romance 
Treasure Planet,95.0,140000000,en,2002,11,Adventure Animation Family Fantasy Science Fiction 
They,89.0,17000000,en,2002,11,Horror Thriller 
Another You,94.0,17000000,en,1991,07,Comedy Drama 
I Spit on Your Grave,101.0,650000,en,1978,11,Horror Thriller 
The Last Seduction,110.0,2500000,en,1994,05,Thriller Mystery Romance 
The Noah's Ark Principle,100.0,600000,de,1984,02,Science Fiction Thriller 
The Sword and the Sorcerer,100.0,4000000,en,1982,04,Action Adventure Fantasy 
Zulu,138.0,3500000,en,1964,01,Action Drama History War 
Analyze That,96.0,60000000,en,2002,12,Comedy Crime 
Empire,90.0,4000000,en,2002,12,Action Drama 
Adaptation.,114.0,19000000,en,2002,12,Comedy Crime Drama 
Equilibrium,107.0,20000000,en,2002,12,Action Science Fiction Thriller 
Escape to Victory,116.0,10000000,en,1981,06,Action Drama 
Alone in the Dark,93.0,20000000,en,1982,11,Horror Thriller 
The Best Little Whorehouse in Texas,114.0,35000000,en,1982,07,Comedy 
The Border,108.0,22000000,en,1982,01,Drama Crime 
Class of 1984,98.0,4300000,en,1982,08,Action Drama Horror Crime Thriller 
"Come Back to the 5 & Dime, Jimmy Dean, Jimmy Dean",109.0,850000,en,1982,11,Comedy Drama 
Eating Raoul,87.0,350000,en,1982,03,Comedy Horror 
Drumline,118.0,20000000,en,2002,12,Drama Romance Comedy Music 
Maid in Manhattan,105.0,55000000,en,2002,12,Comedy Drama Romance 
Star Trek: Nemesis,117.0,60000000,en,2002,12,Science Fiction Action Adventure Thriller 
About Schmidt,125.0,30000000,en,2002,12,Drama Comedy 
The Lord of the Rings: The Two Towers,179.0,79000000,en,2002,12,Adventure Fantasy Action 
25th Hour,135.0,15000000,en,2002,12,Crime Drama 
Antwone Fisher,120.0,12500000,en,2002,12,Drama Romance 
Gangs of New York,167.0,100000000,en,2002,12,Drama History Crime 
Two Weeks Notice,101.0,60000000,en,2002,12,Comedy Romance 
The Wild Thornberrys Movie,85.0,35000000,en,2002,12,Animation Adventure Family 
Narc,105.0,6500000,en,2002,01,Action Crime Drama Thriller 
Body of Evidence,101.0,30000000,en,1993,01,Drama Thriller Romance 
The Duellists,100.0,900000,en,1977,08,Drama War 
Legend of the Lost,109.0,1750000,en,1957,12,Adventure Drama 
My Girl,102.0,16500000,en,1991,11,Comedy Drama Family 
Running Time,70.0,130000,en,1997,12,Crime 
War and Peace,208.0,6000000,en,1956,08,Drama War Romance 
Attack of the Crab Monsters,62.0,70000,en,1957,02,Horror Science Fiction 
The Day of the Triffids,94.0,750000,en,1962,07,Horror Science Fiction Thriller 
Catch Me If You Can,141.0,52000000,en,2002,12,Drama Crime 
Pinocchio,108.0,40000000,it,2002,12,Comedy Family Fantasy 
Chicago,113.0,45000000,en,2002,12,Action Comedy Crime Drama Music 
The Hours,114.0,25000000,en,2002,12,Drama 
Max,106.0,11000000,en,2002,09,War Drama 
The Pianist,150.0,35000000,en,2002,09,Drama War 
Sonny,110.0,110,en,2002,10,Crime Drama 
Heavy Metal 2000,88.0,15000000,en,2000,04,Action Adventure Animation Fantasy Science Fiction 
The King of Comedy,109.0,20000000,en,1982,12,Comedy Drama 
Confessions of a Dangerous Mind,113.0,30000000,en,2002,12,Comedy Crime Drama Romance Thriller 
Just Married,95.0,18000000,en,2003,01,Comedy 
A Guy Thing,101.0,20000000,en,2003,01,Comedy Romance 
City of God,130.0,3300000,pt,2002,02,Drama Crime 
Band of Outsiders,97.0,120000,fr,1964,08,Crime Drama Romance 
The Woman in Red,87.0,25300000,en,1984,08,Comedy Romance 
Krush Groove,97.0,3000000,en,1985,10,Drama Music Romance 
Biker Boyz,110.0,24000000,en,2003,01,Action Drama 
Final Destination 2,90.0,26000000,en,2003,01,Horror Mystery 
May,93.0,500000,en,2002,01,Drama Horror Thriller Romance 
Firefox,136.0,18000000,en,1982,06,Science Fiction Action Adventure Thriller 
Manhattan Baby,89.0,300000,it,1982,08,Horror 
Still of the Night,91.0,10000000,en,1982,11,Thriller 
Time Walker,83.0,750000,en,1982,11,Horror Science Fiction 
White Dog,90.0,8000000,en,1982,07,Horror Drama Thriller 
How to Lose a Guy in 10 Days,116.0,50000000,en,2003,02,Comedy Romance 
Shanghai Knights,115.0,50000000,en,2003,02,Action Adventure Comedy Western 
Daredevil,103.0,78000000,en,2003,02,Fantasy Action Crime Science Fiction Thriller 
The Jungle Book 2,72.0,20000000,en,2003,02,Family Animation Adventure 
Gerry,103.0,3500000,en,2002,01,Mystery Drama Adventure 
Dennis the Menace,94.0,35000000,en,1993,06,Family Comedy 
10 to Midnight,101.0,4520000,en,1983,03,Horror Crime Thriller Drama 
The Black Stallion,118.0,2700000,en,1979,10,Adventure Family 
A Countess from Hong Kong,113.0,3500000,en,1967,01,Comedy Romance 
A Patch of Blue,105.0,800000,en,1965,12,Drama Romance 
A Prayer for the Dying,107.0,6000000,en,1987,09,Crime Drama Action Thriller 
The Red Badge of Courage,69.0,1640000,en,1951,03,Action Drama War Western 
The Man Who Fell to Earth,138.0,1500000,en,1976,03,Drama Science Fiction 
Dark Blue,118.0,15000000,en,2002,12,Action Crime Drama Thriller 
Gods and Generals,214.0,56000000,en,2003,02,Drama History War 
The Life of David Gale,130.0,50000000,en,2003,02,Drama Thriller Crime 
Old School,91.0,24000000,en,2003,02,Comedy 
Cradle 2 the Grave,101.0,25000000,en,2003,02,Action Crime Drama 
Lady Jane,142.0,8500000,en,1986,02,Drama Romance History 
The Meteor Man,100.0,30,en,1993,08,Fantasy Action Comedy Science Fiction Family 
Bringing Down the House,105.0,20000000,en,2003,03,Comedy 
Tears of the Sun,121.0,70000000,en,2003,03,Action Drama War 
Bend It Like Beckham,112.0,3500159,en,2002,04,Comedy Drama Romance 
The Hunted,94.0,55000000,en,2003,03,Drama Action Thriller Crime 
Willard,100.0,22000000,en,2003,03,Horror 
Spun,101.0,2000000,en,2002,06,Comedy Crime Drama 
King of Kings,168.0,5037000,en,1961,10,Drama 
The Lost Honor of Katharina Blum,106.0,1000000,de,1975,10,Comedy Drama 
Two-Lane Blacktop,102.0,850000,en,1971,07,Drama 
Ringu,96.0,1200000,ja,1998,01,Horror Thriller 
Ringu 2,92.0,6000000,ja,1999,01,Horror 
Sweet Charity,149.0,8000000,en,1969,01,Comedy Drama Music Romance 
Women in Love,131.0,1250000,en,1969,09,Drama Romance 
Japón,130.0,250050,es,2002,01,Drama Foreign 
Boat Trip,94.0,20000000,en,2002,10,Comedy 
Dreamcatcher,136.0,68000000,en,2003,03,Drama Horror Science Fiction Thriller 
The Bible: In the Beginning...,174.0,18000000,en,1966,09,Drama 
The Robe,135.0,4100000,en,1953,09,Drama 
Wind,126.0,29000000,en,1992,09,Action Drama 
Basic,98.0,50000000,en,2003,04,Action Drama Mystery Thriller Crime 
The Core,136.0,60000000,en,2003,03,Action Thriller Adventure Science Fiction 
Raising Victor Vargas,88.0,800000,en,2002,05,Drama Romance 
A Man Apart,109.0,36000000,en,2003,04,Action Drama 
Phone Booth,81.0,13000000,en,2002,09,Thriller Drama 
Levity,100.0,7500000,en,2003,03,Crime Drama 
Anger Management,106.0,75000000,en,2003,04,Comedy 
Ghosts of the Abyss,92.0,13000000,en,2003,04,Documentary 
House of 1000 Corpses,89.0,7000000,en,2003,04,Horror 
Bulletproof Monk,104.0,52000000,en,2003,03,Action Comedy Fantasy 
A Mighty Wind,91.0,6000000,en,2003,04,Comedy Music 
Holes,117.0,20000000,en,2003,04,Adventure Family Drama Comedy 
Winged Migration,98.0,35866397,fr,2001,12,Documentary 
Straw Dogs,118.0,2200000,en,1971,12,Crime Drama Thriller Mystery 
The Andromeda Strain,131.0,6500000,en,1971,03,Science Fiction Thriller 
The Other Side of Heaven,113.0,7000000,en,2001,04,Action Adventure Drama Family 
The Wiz,134.0,24000000,en,1978,10,Adventure Family Fantasy Music 
The Marrying Man,116.0,26000000,en,1991,04,Action Comedy Romance Thriller 
Scenes from a Mall,89.0,3000000,en,1991,02,Comedy 
Identity,90.0,30000000,en,2003,04,Mystery Thriller 
House of Fools,104.0,2500000,ru,2002,12,Drama Music Romance Foreign 
People I Know,100.0,20000000,en,2002,11,Drama Thriller 
The Lizzie McGuire Movie,94.0,17000000,en,2003,04,Family Comedy 
X2,133.0,110000000,en,2003,04,Adventure Action Science Fiction Thriller 
Blue Car,92.0,1000000,en,2002,01,Drama 
Daddy Day Care,92.0,60000000,en,2003,05,Comedy Family 
High Society,111.0,2000000,en,1956,07,Comedy Drama Music Romance 
The Matrix Reloaded,138.0,150000000,en,2003,05,Adventure Action Thriller Science Fiction 
Dracula: Pages from a Virgin's Diary,75.0,1596010,en,2002,02,Horror 
Down with Love,101.0,35000000,en,2003,05,Action Comedy Romance Thriller 
The Spanish Apartment,122.0,5300000,fr,2002,05,Drama Comedy Romance 
Bruce Almighty,101.0,80000000,en,2003,05,Fantasy Comedy 
Finding Nemo,100.0,94000000,en,2003,05,Animation Family 
The Italian Job,110.0,60000000,en,2003,05,Action Crime 
Wrong Turn,84.0,12600000,en,2003,05,Horror Thriller 
2 Fast 2 Furious,107.0,76000000,en,2003,06,Action Crime Thriller 
Whale Rider,101.0,8000000,en,2003,01,Drama Family 
The Crazies,103.0,275000,en,1973,03,Action Horror Thriller 
Dementia 13,75.0,30000,en,1963,09,Horror Thriller 
Two Evil Eyes,120.0,9000000,en,1990,01,Horror Thriller 
Oscar,109.0,35000000,en,1991,04,Action Comedy Thriller Family 
Barton Fink,116.0,9000000,en,1991,08,Comedy Drama 
Battle of Britain,132.0,12000000,en,1969,09,Action Drama History War 
North to Alaska,122.0,3500000,en,1960,11,Western 
The Blue Max,156.0,5000000,en,1966,06,War Action Adventure Drama 
Chisum,111.0,6000000,en,1970,07,Western 
Shattered,98.0,22000000,en,1991,10,Mystery Thriller 
Dumb and Dumberer: When Harry Met Lloyd,85.0,19000000,en,2003,06,Comedy 
From Justin to Kelly,90.0,12000000,en,2003,06,Comedy Romance 
Hollywood Homicide,116.0,75000000,en,2003,06,Action Adventure Comedy Thriller 
The Heart of Me,96.0,7000000,en,2002,01,Drama Romance 
Alex & Emma,96.0,30000000,en,2003,06,Comedy Romance 
28 Days Later,113.0,5000000,en,2002,10,Horror Thriller Science Fiction 
Charlie's Angels: Full Throttle,106.0,120000000,en,2003,06,Action Adventure Comedy 
Ali: Fear Eats the Soul,93.0,130000,de,1974,03,Romance Drama 
"Bodies, Rest & Motion",95.0,2500000,en,1993,01,Drama Romance 
You Only Live Once,86.0,575,en,1937,01,Crime Drama Romance 
Anastasia,105.0,3520000,en,1956,12,Drama Comedy Romance 
Flight of the Intruder,115.0,35000000,en,1991,01,Action Adventure Drama Thriller 
Fun with Dick and Jane,95.0,3000000,en,1977,03,Comedy Crime 
Never on Sunday,91.0,151000,el,1960,05,Drama Comedy Romance 
Nuts,116.0,25000000,en,1987,11,Drama 
Scaramouche,115.0,3005000,en,1952,05,Action Adventure Drama 
Hulk,138.0,137000000,en,2003,06,Drama Action Science Fiction 
"Legally Blonde 2: Red, White & Blonde",95.0,45000000,en,2003,07,Comedy 
Sinbad: Legend of the Seven Seas,86.0,60000000,en,2003,07,Family Animation Adventure 
Terminator 3: Rise of the Machines,109.0,200000000,en,2003,07,Action Thriller Science Fiction 
Swimming Pool,102.0,7800000,en,2003,05,Thriller Crime 
Pirates of the Caribbean: The Curse of the Black Pearl,143.0,140000000,en,2003,07,Adventure Fantasy Action 
The League of Extraordinary Gentlemen,110.0,78000000,en,2003,07,Fantasy Action Thriller Science Fiction 
Bad Boys II,147.0,130000000,en,2003,07,Adventure Action Comedy Thriller Crime 
Johnny English,88.0,40000000,en,2003,04,Adventure Action Comedy 
Loose Cannons,94.0,1500000,en,1990,02,Action Comedy Crime Mystery Thriller 
Lara Croft Tomb Raider: The Cradle of Life,117.0,95000000,en,2003,07,Action Adventure Fantasy Thriller 
Seabiscuit,141.0,87000000,en,2003,07,Drama History 
Spy Kids 3-D: Game Over,84.0,38000000,en,2003,07,Action Adventure Comedy Family Science Fiction 
Buffalo Soldiers,98.0,15000000,en,2001,09,Drama Comedy War Crime Thriller 
"Lucía, Lucía",110.0,2750000,es,2003,01,Adventure Drama Comedy Thriller Crime Romance Foreign 
Mondays in the Sun,113.0,4000000,es,2002,09,Drama 
Eve of Destruction,99.0,13000000,en,1991,01,Action Science Fiction 
"Kiss Me, Stupid",125.0,3500000,en,1964,12,Comedy Romance 
"One, Two, Three",115.0,3000000,en,1961,12,Comedy Family 
The Private Life of Sherlock Holmes,125.0,10000000,en,1970,10,Adventure Comedy Crime Mystery Romance Thriller 
American Wedding,103.0,55000000,en,2003,08,Comedy Romance 
Gigli,121.0,54000000,en,2003,08,Drama 
Freaky Friday,97.0,26000000,en,2003,08,Comedy 
S.W.A.T.,117.0,80000000,en,2003,08,Action Thriller Crime 
Freddy vs. Jason,97.0,30000000,en,2003,08,Horror 
Open Range,139.0,22000000,en,2003,08,Western 
Uptown Girls,92.0,20000000,en,2003,08,Comedy 
Agent Cody Banks,102.0,28000000,en,2003,03,Action 
Changing Habits,95.0,1200000,en,1997,05,Romance Comedy Drama 
House of Wax,90.0,658000,en,1953,04,Crime Horror Mystery 
Man's Best Friend,97.0,6000000,en,1993,11,Horror Science Fiction Thriller 
Of Unknown Origin,88.0,4000000,en,1983,11,Horror 
Valley Girl,99.0,350000,en,1983,04,Comedy Romance 
Wait Until Dark,108.0,4000000,en,1967,10,Horror Crime Thriller 
Showdown in Little Tokyo,79.0,8000000,en,1991,08,Action Thriller 
THX 1138,86.0,777000,en,1971,03,Drama Mystery Science Fiction 
Valley of the Dolls,123.0,5000000,en,1967,12,Music Drama Romance 
The Business of Fancydancing,103.0,200000,en,2002,01,Music Drama 
The Keep,96.0,6000000,en,1983,12,Horror 
"The Beast from 20,000 Fathoms",80.0,210000,en,1953,06,Adventure Horror Science Fiction 
Tremors,96.0,11000000,en,1990,01,Action Horror 
The Red Shoes,133.0,500000,en,1948,07,Drama Romance 
The Pink Panther Strikes Again,103.0,6000000,en,1976,12,Comedy Mystery 
Commando,90.0,10000000,en,1985,10,Action Adventure Thriller 
The Discreet Charm of the Bourgeoisie,101.0,800000,fr,1972,09,Comedy 
Marci X,84.0,20000000,en,2003,08,Comedy 
The Medallion,88.0,41000000,en,2003,08,Thriller Fantasy Action Comedy 
My Boss's Daughter,83.0,14000000,en,2003,08,Comedy Romance 
The Battle of Shaker Heights,79.0,1000000,en,2003,08,Comedy Drama Romance 
Don't Tempt Me,95.0,1200000,es,2001,11,Comedy 
Jeepers Creepers 2,104.0,17000000,en,2003,08,Horror Thriller 
Zero Day,92.0,20000,en,2003,09,Drama 
The Order,102.0,35000000,en,2003,09,Drama Fantasy Horror Mystery Romance Thriller 
Party Monster,98.0,5000000,en,2003,09,Comedy Drama Crime 
Cabin Fever,93.0,1500000,en,2003,08,Horror 
Matchstick Men,116.0,62000000,en,2003,09,Comedy Drama Crime Thriller 
Once Upon a Time in Mexico,102.0,29000000,en,2003,09,Action 
Lost in Translation,102.0,4000000,en,2003,08,Drama 
Daisy Miller,91.0,2000000,en,1974,05,Drama Romance 
Sgt. Pepper's Lonely Hearts Club Band,113.0,18000000,en,1978,07,Adventure Music Family 
Convoy,110.0,12000000,en,1978,06,Action Comedy Drama 
Day of the Dead,96.0,3500000,en,1985,07,Horror Science Fiction 
"Hello, Dolly!",146.0,24000000,en,1969,12,Comedy Family Music Romance 
Memoirs of an Invisible Man,99.0,40000000,en,1992,02,Comedy Fantasy Science Fiction 
The Rose,125.0,9250000,en,1979,11,Drama Music Romance 
Once Bitten,94.0,3200000,en,1985,11,Horror Comedy Romance 
The Brood,92.0,1355000,en,1979,05,Horror Science Fiction Thriller 
The Fighting Temptations,122.0,15000000,en,2003,09,Comedy Music Romance 
Underworld,121.0,22000000,en,2003,09,Fantasy Action Thriller 
Bubba Ho-tep,92.0,1000000,en,2002,06,Comedy Horror Thriller Mystery Fantasy 
Duplex,89.0,40000000,en,2003,09,Action Comedy Thriller 
The Rundown,104.0,85000000,en,2003,09,Adventure Action Comedy Thriller 
Under the Tuscan Sun,113.0,18000000,en,2003,04,Romance 
Mambo Italiano,92.0,4361898,en,2003,06,Comedy Romance 
To Be and to Have,104.0,1000000,fr,2002,05,Documentary 
The Triplets of Belleville,80.0,8000000,fr,2003,06,Adventure Animation Comedy Drama 
Videodrome,87.0,5952000,en,1983,02,Horror Mystery Science Fiction 
Lagaan: Once Upon a Time in India,224.0,5200000,hi,2001,06,Adventure Drama Music Romance 
Judgment at Nuremberg,186.0,3000000,en,1961,12,Drama History 
"Same Time, Next Year",119.0,118,en,1978,04,Comedy Drama Romance 
The Rules of the Game,110.0,8847685,fr,1939,06,Drama Comedy Romance 
All the President's Men,138.0,8500000,en,1976,04,Drama History Mystery Thriller 
Avalon,107.0,8000000,pl,2001,01,Action Science Fiction 
The Barber of Siberia,180.0,35000000,ru,1998,10,Comedy Drama Romance 
Beethoven's 2nd,89.0,15000000,en,1993,12,Family Comedy 
Boyz n the Hood,112.0,6500000,en,1991,07,Crime Drama 
Bugsy,134.0,30000000,en,1991,12,Drama Crime 
Consenting Adults,99.0,18000000,en,1992,10,Crime Drama Mystery 
Phenomena,116.0,3800000,en,1985,01,Horror Thriller 
Crimewave,83.0,3000000,en,1985,09,Thriller Comedy Crime 
Crying Freeman,102.0,6100000,en,1995,04,Action Crime 
Where Eagles Dare,155.0,7700000,en,1968,12,Adventure Drama Action History War 
Sleeping with the Enemy,99.0,19000000,en,1991,02,Drama Crime Thriller 
PCU,79.0,9000000,en,1994,04,Comedy 
The Rookie,120.0,10000000,en,1990,12,Action Crime Drama Thriller 
