Name,Year of release,Rating,Genre,votes
Atonement,2007.0,7.8,Drama Mystery Romance            ,"240,592"
The Sand Pebbles,1966.0,7.6,Adventure Drama Romance            ,"12,995"
Silver Linings Playbook,2012.0,7.7,Comedy Drama Romance            ,"646,147"
12 Years a Slave,2013.0,8.1,Biography Drama History            ,"616,610"
A Beautiful Mind,2001.0,8.2,Biography Drama            ,"818,652"
Birdman or (The Unexpected Virtue of Ignorance),2014.0,7.7,Comedy Drama            ,"559,256"
Gone with the Wind,1939.0,8.1,Drama History Romance            ,"279,089"
Erin Brockovich,2000.0,7.3,Biography Drama            ,"168,657"
Black Swan,2010.0,8.0,Drama Thriller            ,"680,386"
The Wizard of Oz,1939.0,8.0,Adventure Family Fantasy            ,"364,152"
Moneyball,2011.0,7.6,Biography Drama Sport            ,"348,528"
West Side Story,1961.0,7.5,Crime Drama Musical            ,"93,282"
E.T. the Extra-Terrestrial,1982.0,7.8,Family Sci-Fi            ,"358,042"
Vice,2018.0,7.2,Biography Comedy Drama            ,"108,915"
The Exorcist,1973.0,8.0,Horror            ,"350,969"
Hidden Figures,2016.0,7.8,Biography Drama History            ,"189,563"
Brokeback Mountain,2005.0,7.7,Drama Romance            ,"314,044"
Zero Dark Thirty,2012.0,7.4,Drama History Thriller            ,"263,484"
A Streetcar Named Desire,1951.0,8.0,Drama            ,"96,069"
Lion,2016.0,8.0,Biography Drama            ,"202,898"
Toy Story 3,2010.0,8.3,Animation Adventure Comedy            ,"732,290"
American Hustle,2013.0,7.2,Crime Drama            ,"436,952"
Lost in Translation,2003.0,7.7,Comedy Drama            ,"396,937"
Mary Poppins,1964.0,7.8,Comedy Family Fantasy            ,"152,623"
The King's Speech,2010.0,8.0,Biography Drama History            ,"622,968"
Argo,2012.0,7.7,Biography Drama Thriller            ,"558,817"
American Graffiti,1973.0,7.4,Comedy Drama            ,"78,908"
Dead Poets Society,1989.0,8.1,Comedy Drama            ,"404,538"
Rocky,1976.0,8.1,Drama Sport            ,"500,877"
Gangs of New York,2002.0,7.5,Crime Drama            ,"392,810"
True Grit,2010.0,7.6,Drama Western            ,"300,807"
Hell or High Water,2016.0,7.6,Action Crime Drama            ,"194,576"
Manchester by the Sea,2016.0,7.8,Drama            ,"234,599"
Million Dollar Baby,2004.0,8.1,Drama Sport            ,"616,657"
Up,2009.0,8.2,Animation Adventure Comedy            ,"901,501"
District 9,2009.0,7.9,Action Sci-Fi Thriller            ,"626,324"
L.A. Confidential,1997.0,8.2,Crime Drama Mystery            ,"516,675"
"Hello, Dolly!",1969.0,7.1,Adventure Comedy Musical            ,"13,000"
Crash,2004.0,7.8,Crime Drama Thriller            ,"412,729"
Midnight in Paris,2011.0,7.7,Comedy Fantasy Romance            ,"374,687"
Chinatown,1974.0,8.2,Drama Mystery Thriller            ,"282,823"
Chicago,2002.0,7.1,Comedy Crime Musical            ,"210,645"
Amadeus,1984.0,8.3,Biography Drama History            ,"357,144"
Little Miss Sunshine,2006.0,7.8,Comedy Drama            ,"427,752"
A Few Good Men,1992.0,7.7,Drama Thriller            ,"226,466"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964.0,8.4,Comedy            ,"436,452"
Dallas Buyers Club,2013.0,8.0,Biography Drama            ,"425,263"
Lawrence of Arabia,1962.0,8.3,Adventure Biography Drama            ,"258,002"
Gravity,2013.0,7.7,Drama Sci-Fi Thriller            ,"748,933"
Dances with Wolves,1990.0,8.0,Adventure Drama Western            ,"232,679"
Phantom Thread,2017.0,7.5,Drama Romance            ,"103,449"
Roma,2018.0,7.7,Drama            ,"131,284"
Hugo,2011.0,7.5,Drama Family Fantasy            ,"297,005"
Jerry Maguire,1996.0,7.3,Comedy Drama Romance            ,"234,305"
Great Expectations,1946.0,7.8,Adventure Drama Mystery            ,"21,309"
Scent of a Woman,1992.0,8.0,Drama            ,"248,447"
The Fighter,2010.0,7.8,Biography Drama Sport            ,"331,067"
The Blind Side,2009.0,7.6,Biography Drama Sport            ,"282,537"
The Hurt Locker,2008.0,7.6,Drama Thriller War            ,"410,664"
Moulin Rouge!,2001.0,7.6,Drama Musical Romance            ,"260,990"
The Theory of Everything,2014.0,7.7,Biography Drama Romance            ,"385,800"
The Tree of Life,2011.0,6.8,Drama Fantasy            ,"163,883"
Sergeant York,1941.0,7.7,Biography Drama History            ,"14,823"
As Good as It Gets,1997.0,7.7,Comedy Drama Romance            ,"267,437"
The Aviator,2004.0,7.5,Biography Drama            ,"324,065"
The Graduate,1967.0,8.0,Comedy Drama Romance            ,"247,792"
Lincoln,2012.0,7.3,Biography Drama History            ,"238,345"
Life of Pi,2012.0,7.9,Adventure Drama Fantasy            ,"565,159"
Sense and Sensibility,1995.0,7.6,Drama Romance            ,"98,232"
Beauty and the Beast,1991.0,8.0,Animation Family Fantasy            ,"407,587"
Elizabeth,1998.0,7.4,Biography Drama History            ,"90,269"
The Fugitive,1993.0,7.8,Action Crime Drama            ,"258,983"
Juno,2007.0,7.4,Comedy Drama            ,"480,715"
Michael Clayton,2007.0,7.2,Crime Drama Mystery            ,"152,993"
The Bridge on the River Kwai,1957.0,8.1,Adventure Drama War            ,"196,448"
The English Patient,1996.0,7.4,Drama Romance War            ,"173,881"
The Thin Red Line,1998.0,7.6,Drama War            ,"167,666"
Raging Bull,1980.0,8.2,Biography Drama Sport            ,"309,829"
Boyhood,2014.0,7.9,Drama            ,"328,244"
It's a Wonderful Life,1946.0,8.6,Drama Family Fantasy            ,"383,824"
The Descendants,2011.0,7.3,Comedy Drama            ,"228,868"
The Elephant Man,1980.0,8.1,Biography Drama            ,"211,758"
The Reader,2008.0,7.6,Drama Romance            ,"225,723"
Deliverance,1972.0,7.7,Adventure Drama Thriller            ,"95,648"
Ghost,1990.0,7.0,Drama Fantasy Romance            ,"189,958"
Barry Lyndon,1975.0,8.1,Adventure Drama History            ,"142,908"
Brooklyn,2015.0,7.5,Drama Romance            ,"126,083"
Gosford Park,2001.0,7.2,Comedy Drama Mystery            ,"77,948"
Midnight Cowboy,1969.0,7.8,Drama            ,"97,319"
Up in the Air,2009.0,7.4,Comedy Drama Romance            ,"311,910"
To Kill a Mockingbird,1962.0,8.2,Crime Drama            ,"286,107"
The Conversation,1974.0,7.8,Drama Mystery Thriller            ,"94,048"
Rain Man,1988.0,8.0,Drama            ,"460,931"
Funny Girl,1968.0,7.4,Biography Comedy Drama            ,"18,461"
Butch Cassidy and the Sundance Kid,1969.0,8.0,Biography Crime Drama            ,"197,692"
Captain Phillips,2013.0,7.8,Biography Crime Drama            ,"407,788"
Three Coins in the Fountain,1954.0,6.3,Drama Romance            ,"2,994"
127 Hours,2010.0,7.6,Biography Drama            ,"339,307"
Babel,2006.0,7.4,Drama            ,"283,231"
