Name,Year of release,Rating,Genre,votes
A Soldier's Story,1984.0,7.2,Crime Drama Mystery            ,"8,497"
The Defiant Ones,1958.0,7.6,Crime Drama            ,"12,971"
Tender Mercies,1983.0,7.4,Drama Music            ,"8,979"
Norma Rae,1979.0,7.3,Drama            ,"9,977"
Auntie Mame,1958.0,7.9,Comedy Drama Romance            ,"10,003"
42nd Street,1933.0,7.4,Comedy Musical Romance            ,"10,283"
The Razor's Edge,1946.0,7.4,Drama Romance            ,"5,166"
Elmer Gantry,1960.0,7.8,Drama            ,"9,892"
The Ox-Bow Incident,1942.0,8.0,Drama Western            ,"20,158"
Becket,1964.0,7.8,Biography Drama History            ,"13,226"
The Accidental Tourist,1988.0,6.8,Drama Romance            ,"14,357"
Hope and Glory,1987.0,7.3,Comedy Drama Romance            ,"12,080"
Twelve O'Clock High,1949.0,7.7,Drama War            ,"11,867"
Decision Before Dawn,1951.0,7.2,Drama War            ,"2,305"
The Russians Are Coming the Russians Are Coming,1966.0,7.1,Comedy War            ,"7,644"
Grand Hotel,1932.0,7.4,Drama Romance            ,"16,661"
Little Women,1933.0,7.2,Drama Family Romance            ,"6,160"
Jezebel,1938.0,7.5,Drama Romance            ,"11,525"
Peyton Place,1957.0,7.2,Drama Romance            ,"5,117"
Friendly Persuasion,1956.0,7.3,Drama Romance War            ,"6,160"
America America,1963.0,7.8,Drama            ,"4,656"
Mr. Deeds Goes to Town,1936.0,7.9,Comedy Drama Romance            ,"19,026"
All the King's Men,1949.0,7.5,Drama Film-Noir            ,"12,688"
Lilies of the Field,1963.0,7.6,Drama            ,"8,691"
Since You Went Away,1944.0,7.5,Drama Romance War            ,"4,132"
The Gay Divorcee,1934.0,7.5,Comedy Musical Romance            ,"6,660"
The Little Foxes,1941.0,8.0,Drama Romance            ,"9,857"
Moulin Rouge,1952.0,7.1,Biography Drama Music            ,"4,768"
"Goodbye, Mr. Chips",1939.0,7.9,Drama Romance            ,"9,452"
Utvandrarna,1971.0,8.0,Drama History            ,"5,326"
The Great Ziegfeld,1936.0,6.7,Biography Drama Musical            ,"6,920"
An Unmarried Woman,1978.0,7.1,Comedy Drama Romance            ,"4,355"
Love Is a Many-Splendored Thing,1955.0,6.5,Biography Drama Romance            ,"4,301"
Going My Way,1944.0,7.0,Comedy Drama Music            ,"10,052"
Room at the Top,1959.0,7.5,Drama Romance            ,"5,110"
The Country Girl,1954.0,7.3,Drama Music            ,"5,199"
The Awful Truth,1937.0,7.7,Comedy Romance            ,"16,967"
49th Parallel,1941.0,7.3,Drama Thriller War            ,"5,632"
The Letter,1940.0,7.6,Crime Drama Film-Noir            ,"11,242"
The Pride of the Yankees,1942.0,7.7,Biography Drama Romance            ,"9,478"
Heaven Can Wait,1943.0,7.5,Comedy Drama Fantasy            ,"9,291"
Captains Courageous,1937.0,8.0,Adventure Drama Family            ,"8,354"
Shanghai Express,1932.0,7.3,Adventure Drama Romance            ,"7,150"
A Letter to Three Wives,1949.0,7.8,Drama Romance            ,"8,173"
Random Harvest,1942.0,8.0,Drama Romance            ,"6,661"
Ninotchka,1939.0,7.9,Comedy Romance            ,"18,207"
The Turning Point,1977.0,6.9,Drama Romance            ,"4,113"
A Touch of Class,1973.0,6.5,Comedy Romance            ,"2,665"
Ivanhoe,1952.0,6.8,Adventure Drama History            ,"7,853"
Dodsworth,1936.0,7.8,Drama Romance            ,"7,739"
Father of the Bride,1950.0,7.2,Comedy Romance            ,"9,653"
Anchors Aweigh,1945.0,7.1,Comedy Fantasy Music            ,"7,630"
Bound for Glory,1976.0,7.3,Biography Drama Music            ,"4,538"
Love Affair,1939.0,7.3,Comedy Drama Romance            ,"4,167"
Dark Victory,1939.0,7.5,Drama Romance            ,"9,604"
Pygmalion,1938.0,7.8,Comedy Drama Romance            ,"7,593"
Of Mice and Men,1939.0,7.9,Drama            ,"5,283"
The Dresser,1983.0,7.6,Drama            ,"4,618"
The Snake Pit,1948.0,7.6,Drama Mystery            ,"6,416"
The Yearling,1946.0,7.2,Drama Family Western            ,"5,168"
The Broadway Melody,1929.0,5.7,Drama Musical Romance            ,"6,229"
Born Yesterday,1950.0,7.6,Comedy Drama Romance            ,"9,570"
Imitation of Life,1934.0,7.5,Drama Romance            ,"3,962"
In Which We Serve,1942.0,7.2,Drama War            ,"4,956"
The Talk of the Town,1942.0,7.5,Comedy Drama Romance            ,"7,024"
A Farewell to Arms,1932.0,6.5,Drama Romance War            ,"4,849"
The Long Voyage Home,1940.0,7.0,Drama War            ,"3,711"
The More the Merrier,1943.0,7.7,Comedy Romance War            ,"5,717"
Cimarron,1931.0,5.9,Drama Western            ,"5,200"
Kitty Foyle,1940.0,7.0,Drama Romance            ,"3,036"
The Bells of St. Mary's,1945.0,7.3,Drama            ,"6,827"
A Tale of Two Cities,1935.0,7.8,Drama History Romance            ,"4,956"
The Rose Tattoo,1955.0,7.0,Comedy Drama Romance            ,"3,440"
The Sundowners,1960.0,7.1,Adventure Drama            ,"3,647"
Stage Door,1937.0,7.7,Comedy Drama            ,"7,339"
Cleopatra,1934.0,6.8,Biography Drama History            ,"3,265"
I Am a Fugitive from a Chain Gang,1932.0,8.2,Crime Drama Film-Noir            ,"11,237"
The Private Life of Henry VIII.,1933.0,7.1,Biography Comedy Drama            ,"3,537"
Madame Curie,1943.0,7.2,Biography Drama Romance            ,"2,478"
Kings Row,1942.0,7.5,Drama Mystery Romance            ,"3,801"
A Thousand Clowns,1965.0,7.4,Comedy Drama Romance            ,"3,079"
"Rachel, Rachel",1968.0,7.3,Drama Romance            ,"2,859"
The Bishop's Wife,1947.0,7.6,Comedy Drama Fantasy            ,"13,492"
Alice Adams,1935.0,6.9,Comedy Drama Romance            ,"3,617"
Watch on the Rhine,1943.0,7.3,Drama            ,"3,741"
David Copperfield,1935.0,7.4,Adventure Drama Romance            ,"3,630"
King Solomon's Mines,1950.0,6.8,Action Adventure Romance            ,"5,514"
Cavalcade,1933.0,5.8,Drama Romance War            ,"4,342"
She Done Him Wrong,1933.0,6.3,Comedy Drama History            ,"5,177"
Boys Town,1938.0,7.3,Biography Drama            ,"4,963"
Henry V,1944.0,7.1,Biography Drama History            ,"5,545"
7th Heaven,1927.0,7.6,Drama Romance            ,"3,038"
The Life of Emile Zola,1937.0,7.2,Biography Drama            ,"6,782"
Our Town,1940.0,6.6,Drama Romance            ,"2,256"
The Front Page,1931.0,6.7,Comedy            ,"2,294"
The Crowd,1928.0,8.1,Drama Romance            ,"7,215"
Sounder,1972.0,7.5,Drama Family            ,"3,383"
Here Comes Mr. Jordan,1941.0,7.6,Comedy Fantasy Romance            ,"5,637"
The Informer,1935.0,7.4,Crime Drama            ,"5,438"
Libeled Lady,1936.0,7.9,Comedy Romance            ,"6,739"
Dead End,1937.0,7.3,Crime Drama Film-Noir            ,"5,955"
The Champ,1931.0,7.3,Drama Sport            ,"2,636"
Sons and Lovers,1960.0,7.1,Drama            ,"1,320"
Wake Island,1942.0,6.8,Action Drama War            ,"1,729"
Johnny Belinda,1948.0,7.7,Drama            ,"4,120"
Fanny,1961.0,6.9,Drama Romance            ,"1,878"
A Midsummer Night's Dream,1935.0,6.9,Comedy Fantasy Romance            ,"3,055"
Romeo and Juliet,1936.0,6.5,Drama Romance            ,"1,672"
Hold Back the Dawn,1941.0,7.4,Drama Romance            ,"1,826"
San Francisco,1936.0,7.2,Drama Musical Romance            ,"4,696"
"All This, and Heaven Too",1940.0,7.5,Drama Romance            ,"4,180"
The Big House,1930.0,7.1,Crime Drama Thriller            ,"1,774"
The Human Comedy,1943.0,7.0,Comedy Drama Family            ,"1,779"
Lady for a Day,1933.0,7.4,Comedy Drama            ,"3,642"
Les Misérables,1935.0,7.6,Drama History Romance            ,"3,230"
In Old Chicago,1938.0,6.8,Action Drama Musical            ,"2,025"
Anthony Adverse,1936.0,6.3,Adventure Drama Romance            ,"1,562"
The Citadel,1938.0,7.1,Drama            ,"1,827"
Blossoms in the Dust,1941.0,6.9,Biography Drama Romance            ,"1,700"
The Divorcee,1930.0,6.8,Romance Drama            ,"2,642"
Four Daughters,1938.0,6.9,Drama Music Romance            ,"1,633"
Wilson,1944.0,6.4,Biography Drama History            ,"1,391"
Trader Horn,1931.0,6.2,Action Adventure Drama            ,854
Broadway Melody of 1936,1935.0,6.8,Musical Romance            ,"1,463"
Test Pilot,1938.0,6.9,Drama Romance            ,"2,013"
The Story of Louis Pasteur,1936.0,7.3,Biography Drama History            ,"2,180"
Ruggles of Red Gap,1935.0,7.6,Comedy Romance            ,"3,546"
Arrowsmith,1931.0,6.2,Drama            ,"1,411"
Viva Villa!,1934.0,6.4,Biography Western            ,"1,132"
The House of Rothschild,1934.0,6.6,Biography Drama History            ,968
The Smiling Lieutenant,1931.0,7.2,Comedy Romance Musical            ,"3,103"
Three Smart Girls,1936.0,6.6,Comedy Musical Romance            ,"1,190"
The Patriot,1928.0,,Drama History Thriller            ,
The Barretts of Wimpole Street,1934.0,7.0,Biography Drama Romance            ,"1,547"
The Love Parade,1929.0,7.1,Comedy Musical Romance            ,"1,889"
The Lives of a Bengal Lancer,1935.0,7.1,Adventure Drama War            ,"2,501"
Bad Girl,1931.0,6.5,Drama Romance            ,"1,041"
Alexander's Ragtime Band,1938.0,6.9,Drama Music Musical            ,"1,824"
Naughty Marietta,1935.0,6.7,Drama Musical Romance            ,"1,150"
One Hundred Men and a Girl,1937.0,6.7,Comedy Drama Music            ,890
The Pied Piper,1942.0,7.0,Drama War            ,453
Disraeli,1929.0,6.2,Biography Drama History            ,"1,013"
The Racket,1928.0,6.7,Crime Drama Film-Noir            ,"1,071"
In Old Arizona,1928.0,5.5,Action Adventure Romance            ,879
Here Comes the Navy,1934.0,6.2,Comedy Drama Romance            ,774
One Night of Love,1934.0,5.7,Music Romance            ,491
Skippy,1931.0,6.3,Comedy Drama Family            ,656
One Foot in Heaven,1941.0,6.8,Biography Drama            ,"1,088"
State Fair,1933.0,6.8,Comedy Drama Romance            ,712
One Hour with You,1932.0,7.2,Comedy Musical Romance            ,"2,032"
East Lynne,1931.0,6.1,Drama            ,124
Flirtation Walk,1934.0,5.7,Musical Romance            ,605
Smilin' Through,1932.0,6.9,Drama Romance            ,"1,044"
The Hollywood Revue of 1929,1929.0,5.9,Musical            ,"1,810"
Alibi,1929.0,5.8,Crime            ,648
Chang: A Drama of the Wilderness,1927.0,6.9,Adventure Documentary            ,853
The White Parade,1934.0,6.7,Drama            ,54
